index,sub_area,n_bhk,surface,price,company_name,township,club_house,school,hospital,mall,park,pool,gym
49,akurdi,3.0,1003.0,103.0,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
50,akurdi,3.0,1182.0,128.0,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
53,tathawade,1.0,491.0,39.0,ravima ventures ,newton homes,no,no,no,no,yes,no,yes
54,tathawade,2.0,659.0,51.0,ravima ventures ,newton homes,no,no,no,no,yes,no,yes
55,tathawade,2.0,732.0,60.0,ravima ventures ,newton homes,no,no,no,no,yes,no,yes
56,tathawade,3.0,809.0,66.0,ravima ventures ,newton homes,no,no,no,no,no,no,yes
57,hadapsar,1.0,460.0,45.5,proviso group,lesiure town,no,no,no,no,yes,yes,yes
58,hadapsar,2.0,734.0,72.5,proviso group,lesiure town,no,no,no,no,yes,yes,yes
59,hadapsar,2.0,753.0,73.5,proviso group,lesiure town,no,no,no,no,yes,yes,yes
60,hadapsar,2.0,675.0,62.0,ravima ventures ,newton homes,no,no,no,no,yes,no,no
61,hadapsar,3.0,917.0,84.0,ravima ventures ,newton homes,no,no,no,no,yes,no,no
62,kiwale,2.0,670.0,54.14,unique properties,k ville,yes,no,no,no,yes,yes,no
63,kiwale,2.0,740.0,58.32,unique properties,k ville,yes,no,no,no,yes,yes,no
64,kiwale,2.5,847.0,69.38,unique properties,k ville,yes,no,no,no,yes,yes,no
65,kiwale,2.5,936.0,75.03,unique properties,k ville,yes,no,no,no,yes,yes,no
66,kiwale,3.0,990.0,79.02,unique properties,k ville,yes,no,no,no,yes,yes,no
67,kiwale,3.0,1032.0,82.1,unique properties,k ville,yes,no,no,no,yes,yes,no
68,kayani nagar,3.0,1698.0,249.0,sagitarius ecospaces llp,bluegrass residences,yes,no,no,no ,yes,yes,yes
69,kayani nagar,4.0,2267.0,460.0,sagitarius ecospaces llp,bluegrass residences,yes,no,no,no ,yes,yes,yes
70,pisoli,2.0,670.0,45.75,nirman developers,brookefield willows,yes,no,no,no ,yes,yes,yes
71,pisoli,2.0,725.0,49.34,nirman developers,brookefield willows,yes,no,no,no ,yes,yes,yes
